prefix,topic,text,set,model,plausibility_score,plausibility_label,stance_conf,stance_label,combined_label
Begging should be banned,Begging should be banned,"""Begging"" is a form of child abuse and should be reported to the authorities",test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Begging should be banned,Begging should be banned,beg is a disgusting way to treat animals.  it should be banned.  humane animals are safer and are often healthier if animals are offered gifts,test,GPT-2-RANK,0,No,,,0
Begging should be banned,Begging should be banned,Begging is  the cause of so many child abuse cases because kids will be bullied for their answers,test,GPT-2-RANK,0.428571429,No,,,0
Begging should be banned,Begging should be banned,Begging is a crime against humanity.,test,GPT-2-LN-FWS,0.857142857,Yes,1,Pro,1
Begging should be banned,Begging should be banned,Begging is a drain on society.,test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Begging should be banned,Begging should be banned,Begging is seen as a form of abuse,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Begging should be banned,Begging should be banned,begging is still a form of exploitation with many children exploited for their forced labour,test,GPT-2-RANK,0.571428571,No,,,0
Begging should be banned,Begging should be banned,the ban on begging goes against human nature,test,GPT-2-RANK,0.714285714,Yes,0.714285714,Con,1
Begging should be banned,Begging should be banned,the practice of begging is a crime against humanity,test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Begging should be banned,Begging should be banned,The practice of begging is degrading,test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Begging should be banned,Begging should be banned,The practice of begging is part of a larger problem,test,GPT-2-LN-FWS,0.428571429,No,,,0
Begging should be banned,Begging should be banned,we should not ban beggars because it would result in a complete lack of compassion for the poor and needy.,test,GPT-2-RANK,1,Yes,1,Con,1
Begging should be banned,Begging should be banned,"we should not ban the begging as it is a form of protest and if people do not have other ways of making their voices heard, this is a viable way to have them heard.",test,GPT-2-RANK,0.571428571,No,,,0
Begging should be banned,Begging should be banned,"we should not ban the begging because it is a form of protest and that is protected under the constitution.  if someone wants to kill to get something, that is their right and if someone else is in their place they should be able to do it",test,GPT-2-RANK,0,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,a blood donation could save the life of a patient,test,GPT-2-LN-FWS,1,Yes,0.857142857,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,Blood donation is a basic human right.,test,GPT-2-LN-FWS,1,Yes,0.714285714,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,blood donation is a good way to keep the innocent alive,test,GPT-2-LN-FWS,0.714285714,Yes,1,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,"blood donation is a way of society, a community, and a nation",test,GPT-2-LN-FWS,0.285714286,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,"blood donation is dangerous, often resulting in the death of innocent people.  making it mandatory keeps society safe.",test,GPT-2-RANK,0,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,blood donation is still the right thing to do,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,blood donations can save lives.,test,GPT-2-LN-FWS,1,Yes,1,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,"For many, the benefits of blood donation far outweigh the risks",test,GPT-2-LN-FWS,1,Yes,0.857142857,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,mandatory blood donation would bring an end to the needless suffering caused by donors refusing to donate because of religious beliefs.,test,GPT-2-RANK,0.857142857,Yes,1,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,mandatory blood donation would ensure that every human being received the appropriate treatment to allow long term survival,test,GPT-2-RANK,0.714285714,Yes,1,Pro,1
Blood donation should be mandatory,Blood donation should be mandatory,mandatory donation will help more people get the organ transplant they need,test,GPT-2-RANK,0.571428571,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,mandatory donation would bring an end to suffering and loss of innocent life.,test,GPT-2-RANK,0.285714286,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,mandatory donation would help more people get the organ transplant they need,test,GPT-2-RANK,0.571428571,No,,,0
Blood donation should be mandatory,Blood donation should be mandatory,"there is no convincing argument that blood donation should be mandatory.  many people, especially the elderly, may decline to give blood if it is something that is close to their personal choice.",test,GPT-2-RANK,0.857142857,Yes,1,Con,1
Child labor should be legalized,Child labor should be legalized,child labor can provide a stable family environment for the children and a way to provide them with both a steady income and the required guidance.,test,GPT-2-RANK,0.571428571,No,,,0
Child labor should be legalized,Child labor should be legalized,child labor is a form of child labor which is against the moral and natural principles of the country,test,GPT-2-RANK,0.428571429,No,,,0
Child labor should be legalized,Child labor should be legalized,Child labor is an extremely dangerous job.,test,GPT-2-LN-FWS,0.714285714,Yes,0.857142857,Con,1
Child labor should be legalized,Child labor should be legalized,Child labor is considered as a form of theft in many countries.,test,GPT-2-LN-FWS,0.428571429,No,,,0
Child labor should be legalized,Child labor should be legalized,child labor is detrimental to the development of children and is a source of cheap labor for adults,test,GPT-2-RANK,1,Yes,0.857142857,Con,1
Child labor should be legalized,Child labor should be legalized,child labor is detrimental to the health and wellbeing of the babies raised in such environments and should not be legalized.,test,GPT-2-RANK,0.285714286,No,,,0
Child labor should be legalized,Child labor should be legalized,child labor is exploitative and the children are often not provided with adequate education to become competent adults when they are old enough to decide for themselves,test,GPT-2-RANK,0.285714286,No,,,0
Child labor should be legalized,Child labor should be legalized,Child labor is horrific.,test,GPT-2-LN-FWS,1,Yes,1,Con,1
Child labor should be legalized,Child labor should be legalized,child labor is physically and emotionally damaging for the parents and should not be legalized.,test,GPT-2-RANK,0.428571429,No,,,0
