sentence,key_point,stance,label
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Traffic congestion needs major improvement,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Austin needs better public transportation,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Austin needs more affordable housing,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,security is top priority,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,We need to manage growth better.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Real estate taxes are too high,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Please provide safety for cyclists.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Utilities are too high.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,ROAD QUALITY IS POOR,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,We need infrastructure to support rapid growth,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Affordable housing for low income /working families,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Growth needs to pay for itself.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,HOUSING PRICES ARE OUT OF CONTROL.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,The police are too reactive and authoritarian.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,PRESERVE THE LOCAL NEIGHBORHOODS ZONING.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Embrace growth and innovation!,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,PROPERTY TAXES ARE DRIVING PEOPLE OUT.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,homeless population grows and spreads out.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,"privatize utilities, energy, water, etc.",-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Code issues are hurting the city.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,MAKE TAXES MORE AFFORDABLE.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,TAKE BETTER CARE OF THE HOMELESS!,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,WATER CONSERVATION IS A PRIORITY.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,QUALITY OF LIFE FOR RETIREES,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Police are overusing and abusing authority,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,CRIME IS ON THE INCREASE.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,TOLL ROADS DISCRIMINATE AGAINST LOW INCOME PEOPLE.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,ADA COMPLIANCE IS LACKING,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,You can't make affordable housing by subsidy.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,-1,-1
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Better training of utility employees!!,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,"Effective, affordable ride-share networks are critical.",-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,INCREASE SOCIAL SECURITY FOR ELDERLY.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,More affordable apartments for senior independent living,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,Gentrification is out of control.,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,We need cleaner streets/roads,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,PROVIDE MORE GREEN SPACE,-1,0
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,The city is becoming extremely unaffordable.,-1,-1
This city has a lot of people who struggle with expenses and yet the only relief is offered to those on the eastside.,This city needs more motor vehicle traffic lanes!!,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Traffic congestion needs major improvement,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Austin needs better public transportation,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",Austin needs more affordable housing,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",security is top priority,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",THE HOMELESS POPULATION NEEDS MORE HELP/ATTENTION,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",AFFORDABLE HOUSING TO KEEP CITY DIVERSE.,-1,0
"Should be grant funds allocated to promote small businesses  I own a small business and need financial assistance to stay afloat  a small grant of 10,000.00 would allow my business to thrive",BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,-1,0
