Label (-/P/C/?) ,Concept,Category/List Page Title,URL
P,Abortion,Category:American_abortion_providers,https://en.wikipedia.org/wiki/Category:American_abortion_providers
P,Abortion,Category:American_pro-choice_activists,https://en.wikipedia.org/wiki/Category:American_pro-choice_activists
C,Abortion,Category:American_pro-life_activists,https://en.wikipedia.org/wiki/Category:American_pro-life_activists
-,Abortion,Category:Anti-abortion_violence_in_the_United_States,https://en.wikipedia.org/wiki/Category:Anti-abortion_violence_in_the_United_States
P,Abortion,Category:British_pro-choice_activists,https://en.wikipedia.org/wiki/Category:British_pro-choice_activists
P,Abortion,Category:Canadian_pro-choice_activists,https://en.wikipedia.org/wiki/Category:Canadian_pro-choice_activists
C,Abortion,Category:Canadian_pro-life_activists,https://en.wikipedia.org/wiki/Category:Canadian_pro-life_activists
P,Abortion,Category:French_pro-choice_activists,https://en.wikipedia.org/wiki/Category:French_pro-choice_activists
P,Abortion,Category:Irish_pro-choice_activists,https://en.wikipedia.org/wiki/Category:Irish_pro-choice_activists
C,Abortion,Category:New_Zealand_pro-life_activists,https://en.wikipedia.org/wiki/Category:New_Zealand_pro-life_activists
P,Abortion,Category:Victims_of_anti-abortion_violence_in_the_United_States,https://en.wikipedia.org/wiki/Category:Victims_of_anti-abortion_violence_in_the_United_States
-,Abortion,List_of_songs_about_abortion,https://en.wikipedia.org/wiki/List_of_songs_about_abortion
?,Adultery,Category:People_executed_for_adultery,https://en.wikipedia.org/wiki/Category:People_executed_for_adultery
-,Adventism,Category:Adventism,https://en.wikipedia.org/wiki/Category:Adventism
P,Adventism,Category:American_Seventh-day_Adventist_clergy,https://en.wikipedia.org/wiki/Category:American_Seventh-day_Adventist_clergy
P,Adventism,Category:American_Seventh-day_Adventists,https://en.wikipedia.org/wiki/Category:American_Seventh-day_Adventists
-,Adventism,Category:Andrews_University,https://en.wikipedia.org/wiki/Category:Andrews_University
P,Adventism,Category:Australian_Seventh-day_Adventists,https://en.wikipedia.org/wiki/Category:Australian_Seventh-day_Adventists
P,Adventism,Category:British_Seventh-day_Adventists,https://en.wikipedia.org/wiki/Category:British_Seventh-day_Adventists
-,Adventism,Category:Church_of_God_(Armstrong),https://en.wikipedia.org/wiki/Category:Church_of_God_(Armstrong)
-,Adventism,Category:Ellen_G._White_Estate,https://en.wikipedia.org/wiki/Category:Ellen_G._White_Estate
?,Adventism,Category:Former_Seventh-day_Adventists,https://en.wikipedia.org/wiki/Category:Former_Seventh-day_Adventists
-,Adventism,Category:History_of_the_Seventh-day_Adventist_Church,https://en.wikipedia.org/wiki/Category:History_of_the_Seventh-day_Adventist_Church
P,Adventism,Category:New_Zealand_Seventh-day_Adventists,https://en.wikipedia.org/wiki/Category:New_Zealand_Seventh-day_Adventists
?,Adventism,Category:People_disfellowshipped_by_the_Seventh-day_Adventist_Church,https://en.wikipedia.org/wiki/Category:People_disfellowshipped_by_the_Seventh-day_Adventist_Church
P,Adventism,Category:Seventh-day_Adventist_administrators,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_administrators
-,Adventism,Category:Seventh-day_Adventist_Church,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_Church
P,Adventism,Category:Seventh-day_Adventist_clergy,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_clergy
P,Adventism,Category:Seventh-day_Adventist_leaders,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_leaders
P,Adventism,Category:Seventh-day_Adventist_missionaries,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_missionaries
P,Adventism,Category:Seventh-day_Adventist_theologians,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_theologians
-,Adventism,Category:Seventh-day_Adventist_theology,https://en.wikipedia.org/wiki/Category:Seventh-day_Adventist_theology
